,x
0,0.054522615
1,0.059045225
2,0.06356784
3,0.068090454
4,0.07261306
5,0.07713568
6,0.08165829
7,0.0861809
8,0.09070352
9,0.09522613
10,0.099748746
11,0.10427135
12,0.10879397
13,0.11331658
14,0.11783919
15,0.12236181
16,0.12688442
17,0.13140704
18,0.13592964
19,0.14045227
20,0.14497487
21,0.14949748
22,0.1540201
23,0.15854271
24,0.16306531
25,0.16758794
26,0.17211054
27,0.17663316
28,0.18115577
29,0.1856784
30,0.190201
31,0.1947236
32,0.19924621
33,0.20376883
34,0.20829144
35,0.21281406
36,0.21733667
37,0.22185928
38,0.2263819
39,0.2309045
40,0.23542711
41,0.23994973
42,0.24447234
43,0.24899496
44,0.25351757
45,0.2580402
46,0.26256278
47,0.26708543
48,0.27160805
49,0.27613065
50,0.28065327
51,0.2851759
52,0.28969848
53,0.2942211
54,0.29874372
55,0.30326632
56,0.30778894
57,0.31231153
58,0.31683415
59,0.32135677
60,0.3258794
61,0.330402
62,0.3349246
63,0.33944723
64,0.34396985
65,0.34849244
66,0.35301507
67,0.3575377
68,0.3620603
69,0.3665829
70,0.37110552
71,0.37562814
72,0.38015077
73,0.38467336
74,0.38919598
75,0.3937186
76,0.39824122
77,0.4027638
78,0.40728644
79,0.41180903
80,0.41633165
81,0.42085424
82,0.42537686
83,0.42989948
84,0.43442208
85,0.4389447
86,0.44346732
87,0.44798994
88,0.45251256
89,0.45703515
90,0.46155778
91,0.4660804
92,0.470603
93,0.4751256
94,0.47964823
95,0.48417085
96,0.48869348
97,0.49321607
98,0.4977387
99,0.5022613
100,0.5067839
101,0.5113065
102,0.51582915
103,0.52035177
104,0.5248744
105,0.529397
106,0.53391963
107,0.5384422
108,0.5429648
109,0.54748744
110,0.55201006
111,0.5565327
112,0.5610553
113,0.5655779
114,0.57010055
115,0.5746231
116,0.5791457
117,0.58366835
118,0.588191
119,0.5927136
120,0.5972362
121,0.60175884
122,0.60628146
123,0.610804
124,0.61532664
125,0.61984926
126,0.6243719
127,0.62889445
128,0.63341707
129,0.6379397
130,0.6424623
131,0.6469849
132,0.6515075
133,0.6560301
134,0.66055274
135,0.6650754
136,0.66959804
137,0.67412066
138,0.6786433
139,0.68316585
140,0.68768847
141,0.6922111
142,0.6967337
143,0.7012563
144,0.7057789
145,0.7103015
146,0.71482414
147,0.7193467
148,0.7238693
149,0.72839195
150,0.73291457
151,0.7374372
152,0.7419598
153,0.74648243
154,0.75100505
155,0.7555276
156,0.76005024
157,0.76457286
158,0.7690955
159,0.7736181
160,0.7781407
161,0.78266335
162,0.78718597
163,0.7917085
164,0.79623115
165,0.8007538
166,0.8052764
167,0.80979896
168,0.8143216
169,0.8188442
170,0.8233668
171,0.8278894
172,0.832412
173,0.8369346
174,0.84145725
175,0.84597987
176,0.8505025
177,0.8550251
178,0.85954773
179,0.8640703
180,0.8685929
181,0.87311554
182,0.87763816
183,0.8821608
184,0.8866834
185,0.891206
186,0.89572865
187,0.9002512
188,0.90477383
189,0.90929645
190,0.9138191
191,0.9183417
192,0.9228643
193,0.92738694
194,0.93190956
195,0.9364321
196,0.94095474
197,0.94547737
198,0.95
